SADI4,2002-02-12 08:37:00-06
SAEI4,2002-02-12 08:37:00-06
SAFI4,2002-02-12 08:37:00-06
SAGI4,2004-02-25 12:47:00-06
SAKI4,2002-02-12 08:37:00-06
SALI4,2002-04-23 17:39:00-05
SAMI4,2002-03-27 10:28:00-06
SATI4,2004-11-01 12:08:00-06
SAUI4,2002-02-12 08:37:00-06
SBDI4,2003-05-21 13:01:00-05
SBKI4,2002-06-19 14:53:00-05
SBMI4,2003-12-15 16:53:00-06
SBOI4,2002-02-12 08:37:00-06
SBRI4,2002-05-15 11:41:00-05
SBSI4,2007-09-20 15:49:00-05
SBXI4,2006-03-28 14:52:00-06
SBZI4,2004-04-14 11:56:00-05
SCAI4,2002-02-12 08:36:00-06
SCBI4,2002-02-12 08:38:00-06
SCDI4,2003-04-29 14:23:00-05
SCEI4,2004-05-10 13:41:00-05
SCGI4,2002-02-12 08:36:00-06
SCHI4,2002-02-12 08:36:00-06
SCNI4,2002-03-20 15:28:00-06
SCOI4,2002-02-12 08:36:00-06
SCSI4,2002-02-12 08:36:00-06
SDCI4,2006-09-28 14:14:00-05
SDRI4,2002-02-12 08:36:00-06
SEGI4,2005-02-15 13:26:00-06
SFAI4,2002-02-12 15:43:00-06
SFDI4,2004-04-10 00:00:00-05
SFOI4,2002-02-12 00:00:00-06
SGLI4,2002-02-12 08:34:00-06
SGRI4,2002-02-12 08:38:00-06
SHUI4,2002-02-12 08:33:00-06
SIAI4,2003-02-12 11:54:00-06
SIFI4,2002-02-21 17:13:00-06
SINI4,2002-02-12 08:37:00-06
SJCI4,2004-10-04 12:30:00-05
SJEI4,2002-02-12 00:00:00-06
SJWI4,2002-03-12 10:18:00-06
SKCI4,2002-02-12 08:38:00-06
SKNI4,2002-02-12 08:38:00-06
SLEI4,2002-10-15 21:48:00-05
SLMI4,2002-02-12 08:36:00-06
SLOI4,2002-03-13 14:59:00-06
SLUI4,2004-11-11 11:56:00-06
SMAI4,2002-02-12 08:37:00-06
SMDI4,2005-02-21 15:12:00-06
SMLI4,2002-04-15 14:41:00-05
SMNI4,2002-02-12 00:00:00-06
SMOI4,2002-03-11 16:12:00-06
SMSI4,2003-02-06 13:41:00-06
SMUI4,2003-09-29 10:46:00-05
SNEI4,2002-02-12 08:38:00-06
SNVI4,2003-04-15 13:10:00-05
SOCI4,2004-05-10 11:29:00-05
SOGI4,2004-10-05 14:46:00-05
SOSI4,2002-02-12 00:00:00-06
SPAI4,2002-02-12 08:37:00-06
SPEI4,2002-02-12 00:00:00-06
SPKI4,2004-05-07 14:53:00-05
SPYI4,2002-11-26 15:27:00-06
SROI4,2002-02-12 08:36:00-06
SSTI4,2006-06-08 15:08:00-05
SSUI4,2002-02-12 08:38:00-06
STQI4,2005-05-03 10:52:00-05
SUNI4,2005-03-01 11:10:00-06
SWAI4,2002-04-29 12:15:00-05
SWBI4,2002-02-12 08:37:00-06
SWGI4,2007-09-17 12:24:00-05
SWII4,2002-02-12 08:38:00-06
